275 cells to archive (of 278 requested)
[260/275] ok   h5_n021: VERIFIED t=8.97s
[261/275] ok   h4_n045: VERIFIED t=15.5s
[262/275] ok   h4_n046: VERIFIED t=20.86s
[263/275] ok   g5_n017: VERIFIED t=55.91s
[264/275] ok   h4_n047: VERIFIED t=30.21s
[265/275] ok   h4_n048: VERIFIED t=33.01s
[266/275] ok   g6_n017: VERIFIED t=20.8s
[267/275] ok   h4_n049: VERIFIED t=85.23s
[268/275] ok   h5_n022: VERIFIED t=13.21s
[269/275] ok   g5_n019: VERIFIED t=310.11s
[270/275] ok   h5_n023: VERIFIED t=24.54s
[271/275] ok   g5_n020: VERIFIED t=502.89s
[272/275] ok   g6_n018: VERIFIED t=76.51s
[273/275] ok   h5_n024: VERIFIED t=15.21s
[274/275] ok   h5_n025: VERIFIED t=15.48s
[275/275] ok   h5_n026: VERIFIED t=43.95s
summary: {'VERIFIED': 253, 'TRIVIAL_M_EQ_N': 25}
